date,close,open,high,low,volume
1992-07-15,1107.69,1107.18,1135.57,1100.16,0.0
1992-07-16,1124.64,1114.13,1214.83,1108.23,0.0
1992-07-17,1125.56,1121.49,1134.32,1116.14,0.0
1992-07-20,1098.82,1100.6,1126.96,1094.81,0.0
1992-07-21,1082.39,1087.61,1096.49,1079.75,0.0
1992-07-22,1035.66,1059.22,1081.81,1034.91,0.0
1992-07-23,1014.57,1020.07,1033.75,961.61,0.0
1992-07-24,1142.02,1165.89,1178.9,1014.08,0.0
1992-07-27,1149.33,1169.42,1178.81,1108.05,0.0
1992-07-28,1105.95,1126.88,1148.63,1102.02,0.0
1992-07-29,1087.12,1078.31,1108.06,1047.03,0.0
1992-07-30,1057.4,1067.45,1087.36,1043.79,0.0
1992-07-31,1052.07,1045.67,1052.07,1032.54,0.0
1992-08-03,1031.55,1034.7,1060.36,1026.83,0.0
1992-08-04,1035.63,1018.3,1036.33,1016.16,0.0
1992-08-05,1012.55,1015.76,1038.3,1011.66,0.0
1992-08-06,1002.17,988.38,1010.76,983.22,0.0
1992-08-07,1005.23,1003.22,1006.11,995.71,0.0
1992-08-10,964.09,992.73,1006.64,956.55,0.0
1992-08-11,863.41,926.81,961.61,797.6,0.0
1992-08-12,781.21,675.0,843.3,627.36,0.0
1992-08-13,850.94,797.17,890.06,745.62,0.0
1992-08-14,858.38,857.1,900.51,818.12,0.0
1992-08-17,939.46,898.66,940.76,858.38,0.0
1992-08-18,933.44,954.89,999.69,921.98,0.0
1992-08-19,939.51,920.66,951.16,888.23,0.0
1992-08-20,932.32,930.7,946.73,918.65,0.0
1992-08-21,916.25,916.99,938.37,912.89,0.0
1992-08-24,884.1,888.95,920.85,881.33,0.0
1992-08-25,849.57,868.1,887.49,848.05,0.0
1992-08-26,877.89,842.2,877.89,828.1,0.0
1992-08-27,863.77,874.75,880.02,861.64,0.0
1992-08-28,848.2,851.6,866.98,825.01,0.0
1992-08-31,823.27,833.5,848.4,823.02,0.0
1992-09-01,824.96,826.96,832.84,807.37,0.0
1992-09-02,787.67,803.83,826.68,783.96,0.0
1992-09-03,764.11,749.22,781.33,742.74,0.0
1992-09-04,753.58,759.54,776.18,749.46,0.0
1992-09-07,702.83,745.69,788.15,700.79,0.0
1992-09-08,640.12,653.36,702.83,595.42,0.0
1992-09-09,635.74,613.44,643.77,608.06,0.0
1992-09-10,692.78,643.21,695.18,622.01,0.0
1992-09-11,776.29,773.22,789.18,719.39,0.0
1992-09-14,734.98,762.82,793.36,714.93,0.0
1992-09-15,738.16,727.11,751.22,694.32,0.0
1992-09-16,769.04,762.29,776.68,738.16,0.0
1992-09-17,761.72,770.65,779.56,751.08,0.0
1992-09-18,754.4,715.89,761.72,715.89,0.0
1992-09-21,733.44,740.97,760.13,730.3,0.0
1992-09-22,722.7,730.71,736.9,716.23,0.0
1992-09-23,712.37,719.41,725.59,708.5,0.0
1992-09-24,730.57,720.51,735.49,709.63,0.0
1992-09-25,729.79,730.28,735.75,723.56,0.0
1992-09-28,724.7,724.45,729.79,721.19,0.0
1992-09-29,710.63,719.99,728.42,707.82,0.0
1992-09-30,702.32,703.63,710.63,698.91,0.0
1992-10-05,679.62,676.47,702.32,668.9,0.0
1992-10-06,674.24,682.92,692.62,664.27,0.0
1992-10-07,665.26,676.56,676.84,664.43,0.0
1992-10-08,643.69,648.96,671.67,640.22,0.0
1992-10-09,660.29,664.44,668.73,643.68,0.0
1992-10-12,690.57,687.45,713.77,661.99,0.0
1992-10-13,673.99,694.1,701.3,669.56,0.0
1992-10-14,663.75,661.07,673.94,648.84,0.0
1992-10-15,663.53,654.33,667.0,650.92,0.0
1992-10-16,664.75,664.0,668.57,661.2,0.0
1992-10-19,632.4,643.8,667.46,632.4,0.0
1992-10-20,616.29,634.43,663.65,604.5,0.0
1992-10-21,585.7,597.15,616.29,577.23,0.0
1992-10-22,539.8,557.03,584.91,535.79,0.0
1992-10-23,559.73,534.41,577.52,524.07,0.0
1992-10-26,506.94,539.5,561.5,504.81,0.0
1992-10-27,450.28,465.75,506.28,448.28,0.0
1992-10-28,463.21,466.73,470.98,447.93,0.0
1992-10-29,484.25,468.72,484.51,455.22,0.0
1992-10-30,507.25,494.66,507.25,484.45,0.0
1992-11-02,477.61,471.18,508.81,465.55,0.0
1992-11-03,479.81,481.34,487.07,465.6,0.0
1992-11-04,469.9,474.82,481.6,465.09,0.0
1992-11-05,462.63,460.96,470.89,457.03,0.0
1992-11-06,457.05,460.54,468.59,455.73,0.0
1992-11-09,428.61,439.81,459.04,424.68,0.0
1992-11-10,400.53,404.49,428.34,391.17,0.0
1992-11-11,410.16,402.79,410.16,388.32,0.0
1992-11-12,415.79,408.42,416.22,402.33,0.0
1992-11-13,414.09,418.49,421.67,413.3,0.0
1992-11-16,399.32,402.02,415.64,397.63,0.0
1992-11-17,393.52,390.09,399.08,386.85,0.0
1992-11-18,407.61,400.01,407.61,389.59,0.0
1992-11-19,398.95,409.61,412.23,395.16,0.0
1992-11-20,401.44,394.9,401.44,394.31,0.0
1992-11-23,410.39,404.05,410.57,401.82,0.0
1992-11-24,440.04,414.84,448.44,410.81,0.0
1992-11-25,571.63,485.16,571.63,441.54,0.0
1992-11-26,562.01,674.74,752.32,562.01,0.0
1992-11-27,637.67,593.68,682.4,490.54,0.0
1992-11-30,724.6,682.08,727.13,637.67,0.0
1992-12-01,716.74,718.99,749.89,713.85,0.0
1992-12-02,722.2,694.88,722.2,690.63,0.0
1992-12-03,808.2,760.65,826.06,739.03,0.0
1992-12-04,807.02,833.23,841.02,807.02,0.0
1992-12-07,793.25,765.87,803.12,757.34,0.0
1992-12-08,753.94,796.63,811.57,743.9,0.0
1992-12-09,676.45,737.94,752.89,661.66,0.0
1992-12-10,625.23,668.46,693.41,592.78,0.0
1992-12-11,722.28,639.72,735.62,628.91,0.0
1992-12-14,705.07,704.23,748.19,668.07,0.0
1992-12-15,682.24,697.86,713.9,682.24,0.0
1992-12-16,685.82,686.02,690.25,663.17,0.0
1992-12-17,707.82,693.41,707.82,685.65,0.0
1992-12-18,698.13,706.46,721.26,690.45,0.0
1992-12-21,731.68,698.31,731.68,697.7,0.0
1992-12-22,725.78,731.58,731.9,724.74,0.0
1992-12-23,732.05,729.0,736.27,721.44,0.0
1992-12-24,758.59,731.55,758.59,731.31,0.0
1992-12-25,764.28,776.3,781.36,761.89,0.0
1992-12-28,757.31,764.79,772.29,756.89,0.0
1992-12-29,768.91,762.4,769.61,754.54,0.0
1992-12-30,767.52,774.35,777.43,767.07,0.0
1992-12-31,780.39,773.89,784.03,765.41,0.0
1993-01-04,814.04,802.14,816.64,777.16,0.0
1993-01-05,858.72,851.02,859.19,817.21,0.0
1993-01-06,847.44,872.22,883.42,843.16,0.0
1993-01-07,868.97,856.5,868.97,849.53,0.0
1993-01-08,889.47,889.11,893.86,878.33,0.0
1993-01-11,977.42,944.14,977.42,901.47,0.0
1993-01-12,987.26,1016.14,1028.43,982.15,0.0
1993-01-13,1024.05,991.56,1024.05,973.3,0.0
1993-01-14,1086.43,1062.18,1088.6,1036.03,0.0
1993-01-15,1063.76,1088.47,1099.83,1054.46,0.0
1993-01-18,1055.32,1065.39,1078.03,1052.8,0.0
1993-01-19,991.83,1031.63,1064.08,991.83,0.0
1993-01-20,1043.31,1016.72,1050.11,984.74,0.0
1993-01-21,1074.26,1073.62,1077.82,1046.18,0.0
1993-01-22,1100.31,1095.61,1109.59,1073.64,0.0
1993-01-27,1162.44,1149.72,1162.44,1113.57,0.0
1993-01-28,1150.37,1166.78,1186.21,1146.9,0.0
1993-01-29,1198.48,1173.81,1198.48,1150.83,0.0
1993-02-01,1278.5,1250.16,1278.5,1222.18,0.0
1993-02-02,1310.58,1315.43,1325.24,1291.99,0.0
