,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
3841,2016-08-19,77.7,2016-12-16,72.45,78.45,16,0.08,-6.76,002356
3842,2017-01-20,79.41,2018-06-15,61.71,97.5,55,21.0,-22.29,002356
3843,2019-04-26,52.49,2019-05-24,23.37,47.49,4,0.0,-55.48,002356
3844,2011-11-18,44.62,2012-02-17,41.98,47.76,12,3.33,-5.92,002358
3845,2012-03-02,49.86,2012-12-21,45.78,58.42,41,6.22,-8.18,002358
3846,2013-02-22,55.22,2015-10-23,132.18,277.34,121,379.66,139.37,002358
3847,2016-09-14,143.06,2017-07-28,129.06,190.5,36,30.32,-9.79,002358
3848,2018-12-14,146.9,2019-04-19,120.26,167.22,17,20.53,-18.13,002358
3849,2013-02-08,14.97,2014-05-16,19.53,27.99,60,89.25,30.46,002359
3850,2015-07-10,31.53,2018-09-14,40.34,137.64,147,188.19,27.94,002359
3851,2013-01-25,21.29,2013-08-02,19.15,29.49,26,38.0,-10.05,002361
3852,2013-09-06,22.11,2016-02-26,45.35,127.23,109,479.64,105.11,002361
3853,2016-08-19,60.07,2017-06-16,55.91,77.99,42,30.18,-6.93,002361
3854,2019-03-29,38.23,2021-03-05,41.11,51.11,100,22.89,7.53,002361
3855,2013-06-28,19.62,2015-08-28,37.16,102.8,113,390.46,89.4,002362
3856,2015-11-27,61.96,2016-02-19,50.14,67.2,11,13.13,-19.08,002362
3857,2016-08-05,47.3,2016-09-30,50.72,51.38,8,8.17,7.23,002362
3858,2016-10-21,51.6,2016-11-25,52.0,52.38,5,1.99,0.78,002362
3859,2017-09-08,69.44,2018-02-09,38.7,65.4,21,0.0,-44.27,002362
3860,2019-09-30,33.46,2021-04-02,39.38,57.76,77,66.84,17.69,002362
3861,2013-02-22,14.14,2013-03-22,13.14,13.95,4,0.0,-7.07,002363
3862,2013-11-22,13.7,2015-09-11,29.78,83.22,93,468.44,117.37,002363
3863,2019-04-04,15.2,2019-08-16,10.91,15.66,19,3.57,-28.22,002363
3864,2019-10-25,12.62,2020-10-30,13.34,22.35,52,77.8,5.71,002363
3865,2012-05-25,24.7,2012-08-31,22.59,26.07,14,0.0,-8.54,002364
3866,2013-02-01,27.51,2016-03-04,115.66,234.64,157,729.12,320.43,002364
3867,2016-05-20,148.42,2016-11-25,150.94,171.1,26,15.7,1.7,002364
3868,2018-11-02,69.1,2019-06-14,59.62,77.56,31,4.78,-13.72,002364
3869,2019-09-12,70.72,2020-09-30,65.44,99.22,54,29.43,-7.47,002364
3870,2021-09-10,61.42,2021-10-29,55.42,58.72,7,0.0,-9.77,002364
3871,2013-03-22,22.88,2013-05-03,19.44,22.18,6,0.0,-15.03,002365
3872,2014-03-07,21.76,2015-09-30,30.98,64.94,82,204.03,42.37,002365
3873,2015-11-27,38.32,2016-03-04,32.24,48.68,13,24.63,-15.87,002365
3874,2016-07-22,47.46,2018-03-23,54.76,82.22,85,90.41,15.38,002365
3875,2020-03-20,38.81,2020-12-18,33.35,46.49,39,29.07,-14.07,002365
3876,2013-09-06,10.29,2016-02-05,48.06,101.4,110,877.82,367.06,002366
3877,2016-12-09,56.0,2017-03-10,49.02,56.81,13,4.49,-12.46,002366
3878,2017-09-08,59.04,2018-06-08,36.04,64.06,17,8.98,-38.96,002366
3879,2013-01-25,27.56,2014-06-06,37.48,48.34,70,75.78,35.99,002367
3880,2014-07-25,46.56,2016-02-19,71.88,157.85,69,246.69,54.38,002367
3881,2016-11-11,84.41,2016-11-25,83.33,84.41,2,0.0,-1.28,002367
3882,2019-03-01,52.5,2021-05-21,68.21,83.33,115,44.34,29.92,002367
3883,2012-10-19,39.97,2012-10-26,37.16,37.16,1,0.0,-7.03,002368
3884,2013-04-03,46.16,2014-05-30,81.4,113.32,60,153.63,76.34,002368
3885,2014-07-11,92.77,2016-04-08,127.26,243.9,58,169.68,37.18,002368
3886,2018-05-04,114.4,2018-11-30,93.16,128.95,29,15.3,-18.57,002368
3887,2019-03-29,139.03,2019-08-09,98.13,145.47,19,0.0,-29.42,002368
3888,2019-09-20,122.79,2020-11-06,144.78,188.67,58,64.09,17.91,002368
3889,2011-08-05,38.5,2011-10-21,32.02,42.0,10,8.92,-16.83,002369
3890,2012-11-16,33.7,2013-05-03,28.0,35.74,23,8.63,-16.91,002369
3891,2013-07-12,32.42,2013-08-02,31.66,32.42,3,0.37,-2.34,002369
3892,2013-08-09,34.66,2013-11-29,34.22,36.22,16,12.28,-1.27,002369
3893,2014-01-03,37.7,2015-02-13,43.4,52.46,58,40.64,15.12,002369
3894,2015-03-06,48.12,2016-01-29,32.72,82.24,27,68.8,-32.0,002369
3895,2016-12-09,46.36,2017-01-20,40.72,44.36,6,4.23,-12.17,002369
3896,2017-11-17,42.36,2018-02-14,31.04,50.84,13,21.28,-26.72,002369
3897,2019-03-22,44.2,2019-06-06,34.84,46.56,11,8.28,-21.18,002369
3898,2019-12-06,39.92,2020-06-19,38.24,51.36,27,24.06,-4.21,002369
3899,2020-07-10,41.2,2020-07-24,36.2,37.64,2,0.0,-12.14,002369
3900,2011-07-15,26.16,2011-09-30,17.47,25.24,11,0.0,-33.22,002370
3901,2013-05-03,16.37,2014-06-20,22.15,35.9,59,85.91,35.31,002370
3902,2014-10-31,30.14,2017-01-26,51.76,62.54,91,108.81,71.73,002370
3903,2017-03-24,54.53,2017-05-19,49.99,55.09,8,0.0,-8.33,002370
3904,2017-10-20,52.58,2017-11-24,49.14,51.93,5,0.0,-6.54,002370
3905,2018-03-23,63.7,2018-07-27,48.94,69.51,18,5.03,-23.17,002370
3906,2018-12-28,57.64,2019-02-01,32.28,58.94,5,3.1,-44.0,002370
3907,2019-04-26,56.56,2019-08-02,49.48,63.05,14,0.0,-12.52,002370
3908,2021-07-23,17.18,2021-09-24,16.44,16.81,9,1.02,-4.31,002370
3909,2012-11-02,68.04,2012-11-23,65.16,66.64,3,0.0,-4.23,002371
3910,2013-01-18,78.13,2014-05-16,85.08,120.27,68,52.07,8.9,002371
3911,2014-08-08,100.76,2015-09-02,90.04,279.86,56,167.81,-10.64,002371
3912,2016-07-01,192.02,2017-01-13,132.58,204.0,27,2.93,-30.96,002371
3913,2017-11-03,180.61,2018-12-07,205.45,250.8,56,26.69,13.75,002371
3914,2019-03-01,243.4,2021-04-16,709.09,1037.53,110,203.98,191.33,002371
3915,2013-01-18,17.97,2016-02-19,35.85,61.21,159,261.55,99.5,002372
3916,2016-04-22,44.12,2018-10-26,74.76,106.62,128,147.61,69.45,002372
3917,2019-03-01,92.96,2019-12-06,80.98,112.89,40,29.45,-12.89,002372
3918,2020-08-21,98.82,2021-09-30,115.73,165.83,58,69.09,17.11,002372
3919,2013-05-24,14.69,2015-09-02,48.56,144.96,96,925.18,230.57,002373
3920,2015-11-27,97.56,2016-03-04,53.08,100.2,9,12.03,-45.59,002373
3921,2018-03-30,66.14,2018-07-06,50.78,64.58,14,3.26,-23.22,002373
3922,2019-03-08,80.78,2020-11-27,81.72,109.4,89,59.43,1.16,002373
3923,2012-07-20,26.56,2013-04-26,22.74,28.9,38,25.6,-14.38,002374
3924,2013-05-24,26.29,2013-06-28,18.45,25.39,5,0.0,-29.82,002374
3925,2014-04-11,22.25,2015-09-30,35.01,92.61,64,309.78,57.35,002374
3926,2015-12-31,49.56,2016-01-08,40.92,40.92,1,0.0,-17.43,002374
3927,2016-09-14,49.5,2017-05-12,38.41,62.23,33,19.6,-22.4,002374
3928,2020-09-11,18.45,2020-09-25,17.06,18.01,2,0.0,-7.53,002374
3929,2012-05-18,63.85,2013-04-12,75.27,87.87,45,28.71,17.89,002375
3930,2013-05-24,98.67,2013-12-27,77.01,97.11,31,1.57,-21.95,002375
