,up_dt,up_price,down_dt,down_price,highest,weeks,rise_rate%,down_up%,id
1194,2020-07-31,42.49,2021-05-14,38.06,49.89,41,4.37,-10.43,002165
1195,2021-09-24,64.74,2022-01-28,39.81,56.87,18,7.22,-38.51,002165
1196,2020-01-17,58.84,2020-05-15,54.63,78.89,16,0.0,-7.15,002166
1197,2012-04-13,99.26,2012-08-17,93.13,106.78,17,2.78,-6.18,002167
1198,2017-09-01,97.83,2017-11-17,73.65,102.28,10,1.47,-24.72,002167
1199,2013-03-15,138.17,2013-04-26,119.16,137.45,6,0.0,-13.76,002168
1200,2016-06-03,203.4,2016-09-09,215.78,224.71,14,9.63,6.09,002168
1201,2020-08-07,124.2,2020-08-28,112.97,122.76,3,0.0,-9.04,002168
1202,2016-06-17,82.95,2016-08-12,73.7,87.13,8,0.0,-11.15,002169
1203,2019-03-22,43.39,2020-11-06,54.62,81.91,84,95.96,25.88,002169
1204,2013-10-11,13.23,2013-10-25,12.45,13.05,2,0.0,-5.9,002172
1205,2014-02-14,16.32,2014-05-09,14.91,16.98,12,10.76,-8.64,002172
1206,2015-11-12,36.78,2016-06-03,32.97,47.1,28,16.47,-10.36,002172
1207,2016-07-01,60.75,2016-09-09,62.55,62.55,10,1.56,2.96,002173
1208,2021-04-09,20.76,2021-09-17,19.5,25.8,23,13.91,-6.07,002173
1209,2011-04-08,16.07,2011-05-13,14.88,16.73,5,4.3,-7.41,002174
1210,2011-08-26,15.91,2011-09-23,14.4,15.48,4,0.0,-9.49,002174
1211,2015-04-24,86.52,2016-09-30,81.14,151.26,46,80.26,-6.22,002174
1212,2020-01-03,78.76,2020-05-15,59.89,97.51,18,13.87,-23.96,002174
1213,2016-04-22,121.99,2016-05-06,111.28,112.12,2,0.0,-8.78,002175
1214,2016-11-25,129.57,2016-12-16,107.92,110.42,3,0.0,-16.71,002175
1215,2014-07-11,73.82,2016-10-14,157.55,251.2,94,223.13,113.42,002176
1216,2011-07-29,55.22,2011-12-08,50.3,56.46,18,5.61,-8.91,002177
1217,2015-11-27,90.86,2016-01-22,70.08,97.32,8,9.4,-22.87,002177
1218,2020-09-04,52.2,2020-11-06,44.79,50.39,9,3.53,-14.2,002177
1219,2015-11-27,88.5,2016-01-29,56.05,91.55,9,0.0,-36.67,002178
1220,2020-04-03,30.75,2020-05-29,27.77,33.99,8,10.75,-9.69,002178
1221,2016-05-20,171.01,2016-09-30,179.39,191.5,19,10.79,4.9,002179
1222,2017-07-21,196.11,2018-12-21,190.01,259.88,72,30.84,-3.11,002179
1223,2019-03-29,235.24,2020-04-24,261.92,325.61,55,38.35,11.34,002179
1224,2017-11-03,134.31,2017-11-24,136.76,144.23,3,0.0,1.82,002180
1225,2019-03-29,144.91,2019-05-17,113.98,139.43,7,0.0,-21.34,002180
1226,2015-03-13,25.84,2015-08-28,20.53,46.84,24,75.1,-20.55,002181
1227,2015-12-11,29.78,2016-01-29,18.82,34.49,7,1.05,-36.8,002181
1228,2019-10-25,11.37,2020-04-10,10.42,13.54,23,19.3,-8.36,002181
