,id,box_p,box_os,profit_percent_per_year,max_loss_percent,max_drawdown_len,avg_drawdown_len
264,150-40,150,40,30.0,-25.82,2,1.25
265,150-50,150,50,22.5,-29.31,3,1.22
266,150-60,150,60,20.0,-31.33,3,1.37
267,150-70,150,70,15.0,-39.88,5,1.69
268,150-80,150,80,15.0,-32.89,5,1.75
269,150-90,150,90,15.0,-32.89,7,1.84
270,155-10,155,10,0.0,0.0,0,0.0
271,155-20,155,20,-200.0,-13.17,0,0.0
272,155-30,155,30,65.0,-19.44,2,1.33
273,155-40,155,40,32.5,-25.82,2,1.25
274,155-50,155,50,25.0,-29.31,3,1.19
275,155-60,155,60,22.5,-31.33,3,1.31
276,155-70,155,70,15.0,-39.88,5,1.68
277,155-80,155,80,15.0,-32.89,5,1.61
278,155-90,155,90,17.5,-32.89,6,1.8
279,160-10,160,10,0.0,0.0,0,0.0
280,160-20,160,20,-1645.0,-13.17,0,0.0
281,160-30,160,30,50.0,-19.44,2,1.33
282,160-40,160,40,27.5,-25.82,2,1.2
283,160-50,160,50,27.5,-29.31,3,1.11
284,160-60,160,60,27.5,-31.33,3,1.14
285,160-70,160,70,17.5,-35.15,5,1.63
286,160-80,160,80,17.5,-31.33,5,1.55
287,160-90,160,90,20.0,-31.52,6,1.75
288,165-10,165,10,0.0,0.0,0,0.0
289,165-20,165,20,0.0,0.0,0,0.0
290,165-30,165,30,52.5,-19.44,2,1.33
291,165-40,165,40,30.0,-25.82,2,1.1
292,165-50,165,50,27.5,-29.47,2,1.05
293,165-60,165,60,27.5,-31.33,2,1.11
294,165-70,165,70,17.5,-35.15,4,1.44
295,165-80,165,80,17.5,-33.56,5,1.5
296,165-90,165,90,20.0,-33.56,5,1.67
297,170-10,170,10,0.0,0.0,0,0.0
298,170-20,170,20,0.0,0.0,0,0.0
299,170-30,170,30,57.5,-19.44,2,1.33
300,170-40,170,40,27.5,-25.82,2,1.33
301,170-50,170,50,25.0,-29.31,2,1.21
302,170-60,170,60,25.0,-31.33,2,1.18
303,170-70,170,70,17.5,-33.56,4,1.46
304,170-80,170,80,17.5,-33.56,5,1.52
305,170-90,170,90,17.5,-33.56,5,1.71
306,175-10,175,10,0.0,0.0,0,0.0
307,175-20,175,20,0.0,0.0,0,0.0
308,175-30,175,30,62.5,-26.8,2,1.33
309,175-40,175,40,22.5,-26.8,2,1.17
310,175-50,175,50,30.0,-29.31,2,1.15
311,175-60,175,60,27.5,-31.33,2,1.14
312,175-70,175,70,20.0,-33.56,4,1.43
313,175-80,175,80,17.5,-33.56,5,1.54
314,175-90,175,90,20.0,-33.56,4,1.65
315,180-10,180,10,0.0,0.0,0,0.0
316,180-20,180,20,0.0,0.0,0,0.0
317,180-30,180,30,75.0,-19.15,2,1.5
318,180-40,180,40,27.5,-26.8,2,1.17
319,180-50,180,50,25.0,-29.31,2,1.08
320,180-60,180,60,30.0,-31.33,2,1.14
321,180-70,180,70,20.0,-33.56,4,1.43
322,180-80,180,80,20.0,-33.56,5,1.54
323,180-90,180,90,20.0,-33.56,5,1.67
324,185-10,185,10,0.0,0.0,0,0.0
325,185-20,185,20,0.0,0.0,0,0.0
326,185-30,185,30,57.5,-19.15,2,1.5
327,185-40,185,40,22.5,-28.15,2,1.17
328,185-50,185,50,25.0,-29.31,2,1.08
329,185-60,185,60,30.0,-29.31,2,1.14
330,185-70,185,70,22.5,-34.38,3,1.39
331,185-80,185,80,15.0,-34.38,4,1.42
332,185-90,185,90,17.5,-34.38,4,1.57
333,190-10,190,10,0.0,0.0,0,0.0
334,190-20,190,20,0.0,0.0,0,0.0
335,190-30,190,30,62.5,-19.15,2,1.5
336,190-40,190,40,37.5,-19.36,2,1.17
337,190-50,190,50,27.5,-29.31,2,1.08
338,190-60,190,60,27.5,-29.31,2,1.2
339,190-70,190,70,22.5,-33.56,3,1.39
340,190-80,190,80,17.5,-33.56,4,1.4
341,190-90,190,90,20.0,-33.56,4,1.57
